ZVIT SCHEMA YAKABOO (Deep Scan)
Total Records: 972,266
====================================================================================================
FIELD NAME                                         | % FILL   | TYPES           | EXAMPLES
book_illustration_label[].attribute_label          |   87.9%  | str             | Иллюстрации
book_illustration_label[].label                    |   87.9%  | str             | Схемы; Нет иллюстраций; Черно-белые
book_illustration_label[].option_code              |   87.9%  | str             | Shemy; Net_illjustracij; Cherno_belye
book_illustration_label[].option_id                |   87.9%  | str             | 733261; 733254; 733256
book_illustration_label[].sort_order               |   87.9%  | str             | 100; 0
book_illustration_label[].url_path                 |   87.9%  | str             | book_illustration/view/Shemy; book_illustration/view/Net_illjustracij; book_illustration/view/Cherno_belye
book_isbn                                          |   94.4%  | str             | 978-966-602-399-8; 9781484265963; 9780691264486
book_isbn_label                                    |   94.4%  | list            | 
book_isbn_label[].attribute_label                  |   94.4%  | str             | ISBN
book_isbn_label[].label                            |   94.4%  | str             | 978-966-602-399-8; 9781484265963; 9780691264486
book_lang                                          |   97.0%  | list            | 
book_lang_label                                    |   97.0%  | list            | 
book_lang_label[].attribute_id                     |   97.7%  | str             | 2957
book_lang_label[].attribute_label                  |   97.7%  | str             | Язык
book_lang_label[].label                            |   97.7%  | str             | Украинский; Английский; Немецкий
book_lang_label[].option_code                      |   97.7%  | str             | Ukrainskij; Anglijskij; Nemeckij
book_lang_label[].option_id                        |   97.7%  | str             | 332272; 332987; 332965
book_lang_label[].sort_order                       |   97.7%  | str             | 1; 2; 5
book_lang_label[].url_path                         |   97.7%  | null            | 
book_literature                                    |    0.2%  | list            | 
book_literature_label                              |    0.2%  | list            | 
book_literature_label[].attribute_id               |    0.2%  | str             | 3710
book_literature_label[].attribute_label            |    0.2%  | str             | Литература
book_literature_label[].label                      |    0.2%  | str             | Зарубежная; Украинская
book_literature_label[].option_code                |    0.2%  | str             | Zarubezhnaja; Ukrainskaja
book_literature_label[].option_id                  |    0.2%  | str             | 723594; 723595
book_literature_label[].sort_order                 |    0.2%  | str             | 0; 100
book_literature_label[].url_path                   |    0.2%  | null            | 
book_occasion                                      |    0.1%  | list            | 
book_occasion_label                                |    0.1%  | list            | 
book_occasion_label[].attribute_id                 |    0.4%  | str             | 4115
book_occasion_label[].attribute_label              |    0.4%  | str             | Повод
book_occasion_label[].label                        |    0.4%  | str             | День рождения; Новый год; Юбилей
book_occasion_label[].option_code                  |    0.4%  | str             | Den_rozhdenija; Novyj_god; Jubilej
book_occasion_label[].option_id                    |    0.4%  | str             | 772381; 772382; 772384
book_occasion_label[].sort_order                   |    0.4%  | str             | 1; 2; 6
book_occasion_label[].url_path                     |    0.4%  | null            | 
book_page_count                                    |   86.1%  | str             | 266; 301; 200
book_page_count_label                              |   86.1%  | list            | 
book_page_count_label[].attribute_label            |   86.1%  | str             | Количество страниц
book_page_count_label[].label                      |   86.1%  | str             | 266; 301; 200
book_painter                                       |    2.9%  | list            | 
book_painter_label                                 |    2.9%  | list            | 
book_painter_label[].attribute_id                  |    3.3%  | str             | 2959
book_painter_label[].attribute_label               |    3.3%  | str             | Иллюстратор
book_painter_label[].label                         |    3.3%  | str             | Джордж Бокхуа; Эдвард Берн-Джонс; Уильям Моррис
book_painter_label[].option_code                   |    3.3%  | str             | dzhordzh-bokhua; Jedvard_Bern_Dzhons; Uil_jam_Morris
book_painter_label[].option_id                     |    3.3%  | str             | 1542779; 611121; 681740
book_painter_label[].sort_order                    |    3.3%  | str             | 199; 100; 0
book_painter_label[].url_path                      |    3.3%  | str             | book_painter/view/dzhordzh-bokhua; book_painter/view/Jedvard_Bern_Dzhons; book_painter/view/Uil_jam_Morris
book_paper                                         |    1.0%  | str             | Офсетная; Мелованная; Газетная
book_paper_label                                   |    1.0%  | list            | 
book_paper_label[].attribute_label                 |    1.0%  | str             | Папір
book_paper_label[].label                           |    1.0%  | str             | Офсетная; Мелованная; Газетная
book_period                                        |    3.8%  | list            | 
book_period_label                                  |    3.8%  | list            | 
book_period_label[].attribute_id                   |    3.9%  | str             | 3567
book_period_label[].attribute_label                |    3.9%  | str             | Литература по периодам
book_period_label[].label                          |    3.9%  | str             | Современная литература; Античная литература. Древний мир; Средневековая литература. Возрождение
book_period_label[].option_code                    |    3.9%  | str             | Sovremennaja_literatura; Antichnaja_literatura_Drevnij_mir; Srednevekovaja_literatura_Vozrozhdenie_
book_period_label[].option_id                      |    3.9%  | str             | 715197; 715202; 715201
book_period_label[].sort_order                     |    3.9%  | str             | 100
book_period_label[].url_path                       |    3.9%  | str             | book_period/view/Sovremennaja_literatura; book_period/view/Antichnaja_literatura_Drevnij_mir; book_period/view/Srednevekovaja_literatura_Vozr...
book_print                                         |    6.9%  | list            | 
book_print_label                                   |    6.9%  | list            | 
book_print_label[].attribute_id                    |    7.0%  | str             | 3987
book_print_label[].attribute_label                 |    7.0%  | str             | Бумага
book_print_label[].label                           |    7.0%  | str             | Офсетная; Книжная; Мелованная
book_print_label[].option_code                     |    7.0%  | str             | Ofsetnaja; Knizhnaja; Melovannaja
book_print_label[].option_id                       |    7.0%  | str             | 733264; 733271; 733267
book_print_label[].sort_order                      |    7.0%  | str             | 0; 100
book_print_label[].url_path                        |    7.0%  | null            | 
book_program                                       |    0.3%  | list            | 
book_publication                                   |   97.0%  | list            | 
book_publication_label                             |   97.0%  | list            | 
book_publication_label[].attribute_id              |   97.0%  | str             | 4153
book_publication_label[].attribute_label           |   97.0%  | str             | Тип
book_publication_label[].label                     |   97.0%  | str             | Бумажная; Электронная; Аудио
book_publication_label[].option_code               |   97.0%  | str             | Bumazhnaja; Jelektronnaja; Audio
book_publication_label[].option_id                 |   97.0%  | str             | 781497; 781498; 781519
book_publication_label[].sort_order                |   97.0%  | str             | 0; 99; 100
book_publication_label[].url_path                  |   97.0%  | null            | 
book_publisher                                     |   95.1%  | list            | 
book_publisher_label                               |   95.1%  | list            | 
book_publisher_label[].attribute_id                |   95.7%  | str             | 2961
book_publisher_label[].attribute_label             |   95.7%  | str             | Издательство
book_publisher_label[].label                       |   95.7%  | str             | Ліра-К; APress; Princeton University Press
book_publisher_label[].option_code                 |   95.7%  | str             | Lira_K; apress; princeton-university-press
book_publisher_label[].option_id                   |   95.7%  | str             | 475664; 914294; 909447
book_publisher_label[].sort_order                  |   95.7%  | str             | 100; 0; 2
book_publisher_label[].url_path                    |   95.7%  | str, null       | book_publisher/view/Lira_K; book_publisher/view/apress; book_publisher/view/princeton-university-press
book_reference                                     |    0.3%  | list            | 
book_reference_label                               |    0.3%  | list            | 
book_reference_label[].attribute_id                |    0.3%  | str             | 3564
book_reference_label[].attribute_label             |    0.3%  | str             | Справочные издания
book_reference_label[].label                       |    0.3%  | str             | Справочники; Энциклопедии; Словари
book_reference_label[].option_code                 |    0.3%  | str             | Spravochniki; Jenciklopedii; Slovari
book_reference_label[].option_id                   |    0.3%  | str             | 715148; 715149; 715147
book_reference_label[].sort_order                  |    0.3%  | str             | 100
book_reference_label[].url_path                    |    0.3%  | null            | 
book_salary                                        |    0.0%  | str             |  Miscellaneous Items Stationery Puzzle ; І. ВСТУП

    Верховенство права як „верховен...;  зміст
ПЕРЕДМОВА
Ернест Ґелнер і теорія націо...
book_salary_label                                  |    0.0%  | list            | 
book_salary_label[].attribute_label                |    0.0%  | str             | Зміст
book_salary_label[].label                          |    0.0%  | str             |  Miscellaneous Items Stationery Puzzle ; І. ВСТУП

    Верховенство права як „верховен...;  зміст
ПЕРЕДМОВА
Ернест Ґелнер і теорія націо...
book_seria_former                                  |    0.0%  | list            | 
book_seria_former_label                            |    0.0%  | list            | 
book_seria_former_label[].attribute_id             |    0.0%  | str             | 2963
book_seria_former_label[].attribute_label          |    0.0%  | str             | Составитель серии
book_seria_former_label[].label                    |    0.0%  | str             | Дженни Тайлер; Инна Булкина; Владимир Зубанов
book_seria_former_label[].option_code              |    0.0%  | str             | Dzhenni_Tajler; Inna_Bulkina; Vladimir_Zubanov
book_seria_former_label[].option_id                |    0.0%  | str             | 860525; 706762; 533471
book_seria_former_label[].sort_order               |    0.0%  | str             | 100; 0
book_seria_former_label[].url_path                 |    0.0%  | null            | 
book_series                                        |   30.7%  | list            | 
book_series_label                                  |   30.7%  | list            | 
book_series_label[].attribute_id                   |   30.9%  | str             | 2964
book_series_label[].attribute_label                |   30.9%  | str             | Серия книг
book_series_label[].label                          |   30.9%  | str             | De Gruyter Series on the Applications of Mathem...; Elements in Evolutionary Economics; What Everyone Needs To Know®
book_series_label[].option_code                    |   30.9%  | str             | de-gruyter-series-on-the-applications-of-mathem...; elements-in-evolutionary-economics; what-everyone-needs-to-knowr
book_series_label[].option_id                      |   30.9%  | str             | 925580; 1089298; 1093235
book_series_label[].sort_order                     |   30.9%  | str             | 0; 100
book_series_label[].url_path                       |   30.9%  | str             | book_series/view/de-gruyter-series-on-the-appli...; book_series/view/elements-in-evolutionary-econo...; book_series/view/what-everyone-needs-to-knowr
book_style                                         |    0.1%  | list            | 
book_style_label                                   |    0.1%  | list            | 
book_style_label[].attribute_id                    |    0.2%  | str             | 4117
book_style_label[].attribute_label                 |    0.2%  | str             | По стилю
book_style_label[].label                           |    0.2%  | str             | Практичные подарки; VIP; Дорогой
book_style_label[].option_code                     |    0.2%  | str             | Praktichnye_podarki; VIP; Dorogoj
book_style_label[].option_id                       |    0.2%  | str             | 772355; 772348; 772351
book_style_label[].sort_order                      |    0.2%  | str             | 100; 1; 5
book_style_label[].url_path                        |    0.2%  | null            | 
book_translator                                    |    2.1%  | list            | 
book_translator_label                              |    2.1%  | list            | 
book_translator_label[].attribute_id               |    2.5%  | str             | 2965
book_translator_label[].attribute_label            |    2.5%  | str             | Переводчик
book_translator_label[].label                      |    2.5%  | str             | Юрий Дубленич; Сергей Стець; Татьяна Микитюк
book_translator_label[].option_code                |    2.5%  | str             | jurij-dublenich; Sergej_Stec_; Tat_jana_Mikitjuk
book_translator_label[].option_id                  |    2.5%  | str             | 1377107; 742383; 757331
book_translator_label[].sort_order                 |    2.5%  | str             | 0; 100; 199
book_translator_label[].url_path                   |    2.5%  | str             | book_translator/view/jurij-dublenich; book_translator/view/Sergej_Stec_; book_translator/view/Tat_jana_Mikitjuk
book_type                                          |    0.1%  | list            | 
book_type_label                                    |    0.1%  | list            | 
book_type_label[].attribute_id                     |    0.1%  | str             | 3569
book_type_label[].attribute_label                  |    0.1%  | str             | Тип издания
book_type_label[].label                            |    0.1%  | str             | Путеводители; Атласы; Книга рекордов
book_type_label[].option_code                      |    0.1%  | str             | Putevoditeli; Atlasy; Kniga_rekordov
book_type_label[].option_id                        |    0.1%  | str             | 715208; 715209; 739871
book_type_label[].sort_order                       |    0.1%  | str             | 100
book_type_label[].url_path                         |    0.1%  | null            | 
book_weight                                        |   67.4%  | float, int      | 1; 583; 240
book_weight_label                                  |   67.4%  | list            | 
book_weight_label[].attribute_label                |   67.4%  | str             | Вес
book_weight_label[].label                          |   67.4%  | float, int      | 1; 583; 240
book_whom                                          |    0.1%  | list            | 
book_whom_label                                    |    0.1%  | list            | 
book_whom_label[].attribute_id                     |    0.5%  | str             | 4116
book_whom_label[].attribute_label                  |    0.5%  | str             | Кому
book_whom_label[].label                            |    0.5%  | str             | Мужчине; Женщине; Коллеге
book_whom_label[].option_code                      |    0.5%  | str             | Muzhchine; Zhenschine; Kollege
book_whom_label[].option_id                        |    0.5%  | str             | 772356; 772357; 772359
book_whom_label[].sort_order                       |    0.5%  | str             | 1; 2; 3
book_whom_label[].url_path                         |    0.5%  | null            | 
book_year                                          |   94.9%  | int             | 2025; 2020; 2025
book_year_label                                    |   94.9%  | list            | 
book_year_label[].attribute_label                  |   94.9%  | str             | Год издания
book_year_label[].label                            |   94.9%  | int             | 2025; 2020; 2025
cards_quantity                                     |    0.0%  | list            | 
cards_quantity_label                               |    0.0%  | list            | 
cards_quantity_label[].attribute_id                |    0.0%  | str             | 4112
cards_quantity_label[].attribute_label             |    0.0%  | str             | Количество
cards_quantity_label[].label                       |    0.0%  | str             | 60-100
cards_quantity_label[].option_code                 |    0.0%  | str             | 60_100
cards_quantity_label[].option_id                   |    0.0%  | str             | 772107
cards_quantity_label[].sort_order                  |    0.0%  | str             | 3
cards_quantity_label[].url_path                    |    0.0%  | null            | 
category                                           |  100.0%  | list            | 
category[].breadcrumb                              | 1108.4%  | int             | 0; 1; 0
category[].category_id                             | 1108.4%  | int             | 2; 4723; 4724
category[].level                                   | 1108.4%  | str             | 1; 2; 3
category[].name                                    | 1108.4%  | str             | Default Category; Книги; Бизнес, деньги, экономика
category[].parent_id                               | 1108.4%  | str             | 1; 2; 4723
category[].position                                | 1108.4%  | int             | 10000; 10000; 10000
category[].url_path                                | 1108.4%  | str             | ; knigi.html; knigi/business-money-economy.html
category_ids                                       |  100.0%  | list            | 
children_article                                   |    0.8%  | str             | 10100625У; 10100623У; 10100626У
children_article_label                             |    0.8%  | list            | 
children_article_label[].attribute_label           |    0.8%  | str             | Артикул
